Modelo,Nombre,Descripción,Imágenes,Publicado,precio,sku,stock,Categorías,Tags,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Visible,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Visible,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Visible,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Visible,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Visible,Attribute 5 Global,Attribute 6 Name,Attribute 6 Value(s),Attribute 6 Visible,Attribute 6 Global,Attribute 7 Name,Attribute 7 Value(s),Attribute 7 Visible,Attribute 7 Global,Attribute 8 Name,Attribute 8 Value(s),Attribute 8 Visible,Attribute 8 Global,Attribute 9 Name,Attribute 9 Value(s),Attribute 9 Visible,Attribute 9 Global,Attribute 10 Name,Attribute 10 Value(s),Attribute 10 Visible,Attribute 10 Global,Attribute 11 Name,Attribute 11 Value(s),Attribute 11 Visible,Attribute 11 Global,Attribute 12 Name,Attribute 12 Value(s),Attribute 12 Visible,Attribute 12 Global,Attribute 13 Name,Attribute 13 Value(s),Attribute 13 Visible,Attribute 13 Global,Attribute 14 Name,Attribute 14 Value(s),Attribute 14 Visible,Attribute 14 Global,Attribute 15 Name,Attribute 15 Value(s),Attribute 15 Visible,Attribute 15 Global,Attribute 16 Name,Attribute 16 Value(s),Attribute 16 Visible,Attribute 16 Global,Attribute 17 Name,Attribute 17 Value(s),Attribute 17 Visible,Attribute 17 Global,Attribute 18 Name,Attribute 18 Value(s),Attribute 18 Visible,Attribute 18 Global,Attribute 19 Name,Attribute 19 Value(s),Attribute 19 Visible,Attribute 19 Global,Attribute 20 Name,Attribute 20 Value(s),Attribute 20 Visible,Attribute 20 Global,Attribute 21 Name,Attribute 21 Value(s),Attribute 21 Visible,Attribute 21 Global,Attribute 22 Name,Attribute 22 Value(s),Attribute 22 Visible,Attribute 22 Global,Attribute 23 Name,Attribute 23 Value(s),Attribute 23 Visible,Attribute 23 Global,Attribute 24 Name,Attribute 24 Value(s),Attribute 24 Visible,Attribute 24 Global,Attribute 25 Name,Attribute 25 Value(s),Attribute 25 Visible,Attribute 25 Global,Attribute 26 Name,Attribute 26 Value(s),Attribute 26 Visible,Attribute 26 Global
fx-82LA PLUS ,Calculadora CASIO fx-82LA PLUS,"La calculadora fx-82LA PLUS es una calculadora cientifica necesaria para cualquier estudio relacionado con las matematicas, sirve tanto para estudiantes como para profesionales, confiable y segura para llevarla a cualquier lugar contigo. ","https://i.linio.com/p/4af69bdac1884e830dd2242250d3355f-product.jpg , https://www.juniorpapeleria.com/wp-content/uploads/2019/03/Calculadora-cientifica-CASIO-fx-82-LA-PLUS.jpg ",-1,,,,,Calculadoras ,Idioma :,Español ,1,,Pantalla :,Natural V.P.A.M,1,,Transformación de coordenadas ,si ,1,,Trigonometria ,si ,1,,Estadísticas,si ,1,,Calculo de potencias ,si ,1,,Función de tabla ,si ,1,,Cantidad de funciones ,252,1,,Peso ,100gr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-570ES PLUS ,"Calculadora CASIO fx-570ES PLUS  es una calculadora potente y confiable , posee una gran cantidad de funciones y esta diseñada especialmente para profesionales o estudiantes universitarios.",La calculadora fx-570ES PLUS  es una calculadora potente ,https://i.linio.com/p/333e49e30fedb4d03bbadaedeb054a9d-product.jpg,-1,,,,,Calculadoras ,Calculos fraccionarios :,si ,1,,Combinación y permutación : ,si ,1,,Estadisticas, si ,1, ,Variables ,9,1, ,Función tabla ,si ,1,,Cálculo de ecuaciones ,si ,1, ,Cálculo de matriciales ,si ,1,,Cálculo de vectoriales ,si ,1,,Cálculo de N° complejos ,si ,1,,Cantidad de funciones ,417,1,,Peso ,105gr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc -100V,Calculadora CASIO fc-100v,"La calculadora fc-100V es una calculadora financiera pensada para los profesionales de la contabilidad,posee una alta durabilidad y las funciones con teclas directas lo que facilita el calculo y ahorra tiempo ",https://d1so2n7ngiklqk.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/106806_2.jpg,-1,34000,7480,4,,Calculadoras ,Botones para nuevos accesos directos :,2,1, ,Idioma :,"Ingles, Español, Frances ",1,,Cantidad de funciones ,No aplica ,1,,Peso ,110 gr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-350MS,Calculadora CASIO fx-350MS,"La calculadora fx-350MS es una calculadora cientifica diseñada para estudiantes y profesionales, es simple y facil de usar, indispensable para los quehaceres matematicos complejos. ",https://http2.mlstatic.com/calculadora-casio-fx-350-ms-D_NQ_NP_960041-MCO31570856655_072019-Q.jpg,-1,,,,,Calculadoras ,Calculos fraccionarios :,si ,1,,Combinación y permutación ,si ,1,,Estadisticas,si ,1,,Variables ,9,1,,Cantidad de Funciones ,240,1,,Peso ,100 gr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW-5V,Calculadora CASIO MW-5V,"La calculadora MW-5V es un calculadora simple y facil de usar, ideal para las personas que realizan calculos simples en su vida diaria e indispensable para los negocios pequeños ",https://http2.mlstatic.com/calculadora-casio-mw-5v-8-digitos-D_NQ_NP_804044-MLA27476282630_062018-F.jpg,-1,,,,,Calculadoras ,Porcentaje regular :,si ,1,,Pantalla ,Grande ,1,,Peso ,85 gr. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-991ES PLUS ,Calculadora CASIO fx-991ES PLUS,"La calculadora fx-991ES PLUS es una calculadora cientifica que permite obtener calculos avanzados y precisos, es util tanto para estudiantes como para profesionales del area y es la calculadora ideal para quienes desean obtener un dispositivo de excelente calidad .",https://http2.mlstatic.com/calculadora-cientifica-casio-modelo-fx-991-es-plus-D_NQ_NP_806257-MLM28506244865_102018-Q.jpg,-1,,,,,Calculadoras ,Calculos fraccionarios : ,si ,1,,Combinación y permutación ,si ,1,,Estadisticas,si ,1,,Variables,9,1,,Función tabla ,si ,1,,Energia ,Solar/Pilas ,1,,Cantidad de funciones ,417,1,,Peso ,95 gr ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-3650P,Calculadora CASIO fx-3650p,"La calculadora fx-3650P es una calculadora cientifica programable diseñada para las tareas del colegio y el trabajo de contabilidad, es transportable y comoda , ideal para llevarla siempre contigo ya sea en un bolso, la mochila o una cartera. ",https://images-na.ssl-images-amazon.com/images/I/61oIy2sVNeL._SY879_.jpg ,-1,22800,9838,1,,Calculadoras ,Función de programación ,si ,1,,Combinación y permutación ,si ,1,,Variables :,7,1,,Cálculos fraccionarios,si ,1,,Función de reproducción múltiple,si ,1,,Diferenciales e integrales,si,1,,Estadísticas,si ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-95ES PLUS,Calculadora CASIO fx-95ES PLUS ,"La calculadora fx-95ES PLUS es una calculadora cientifica pensada para el ambito laboral y estudiantil, portatil y comoda es ideal para llevarla a cualquier lugar en donde se necesite obtener el resultado de un calculo complejo. ",https://images-na.ssl-images-amazon.com/images/I/71CCWao9igL._SX466_.jpg,-1,14500,9840,6,,Calculadoras ,Calculos fraccionarios : ,si ,1,,Combinación y permutación ,si ,1,,Variables :,9,1,,Estadística ,si ,1,,Función de tabla,si ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fx-9860GII SD
",Calculadora CASIO fx-9860GII SD,"La calculadora fx-9860GII SD es unca calculadora grafica es una calculadora ideal para todas las tareas de calculo, cuenta con una increible tecnologia que permite graficar en la pantalla logrando asi un mejor entendimiento de los calculos que se requieran hacer, es comoda y portatil por lo que la puedes llevar donde quieras, es ideal para personas que esten en la universidad o en un trabajo que incluya calculos matematicos complejos. ",https://images-na.ssl-images-amazon.com/images/I/71iXOHHCNOL._SX466_.jpg,-1,118900,4968,1,,Calculadoras ,Tipo ,Grafica ,1,,Pantalla ,LCD alta resolución ,1,,Memoria ,Flash de 1.5MB ,1,,Conección por USB,si ,1,,Ranura SD,si ,1,,Resultados con expresión PI,si ,1,,Graficos de desigualdades ,si ,1,,Perifericos ,si ,1,,Cantidad de funciones ,mas 2900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx-100MS,Calculadora CASIO fx-100MS,"La calculadora fx-100MS es una calculadora cientifica perfecta para llevar a los quehaceres de la escuela y los trabajos contables, es comoda y facil de transportar lo que la convierte en la compañera ideal para los calculos del día a día ",https://images-na.ssl-images-amazon.com/images/I/418h9EJVYwL.jpg,-1,17900,14014,2,,Calculadoras ,Calculos fraccionarios : ,si ,1,,Combinación y permutación ,si ,1,,Estadísticas,si,1,,Variables,si ,1,,Cantidad de Funciones ,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
